"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x969988660157407233",2018-03-03 17:31:32,"x718594822215450626","Bronxvoice1","Flu remains widespread in Arizona as fewer cases reported https://t.co/OFsKgpfM2f","Google",,,,FALSE,FALSE,0,0,,,"goo.gl/fb/uCWGFB","https://t.co/OFsKgpfM2f","https://goo.gl/fb/uCWGFB",,,,,,,,,,,"en",,,,,,,,,,,,,
"x969988582642540545",2018-03-03 17:31:14,"x609664036","tessadanielle11","I just want to go the Arnold, but I’m stuck at home fighting the flu &amp; an upper respiratory infection. <f0><U+009F><U+0098><U+0094>","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x969988570558619648",2018-03-03 17:31:11,"x758034305322999808","SpokenEdition","Listen: The Flu Season Has Finally Peaked @time https://t.co/Sy3r82pTjT https://t.co/95fRbeMF02","dlvr.it",,,,FALSE,FALSE,0,0,,,"spokenedition.com/publishers/tim…","https://t.co/Sy3r82pTjT","http://www.spokenedition.com/publishers/time/the-brief/AWHs6gvkVQBSxP80iT0T","http://pbs.twimg.com/media/DXYXdpOVMAADPLK.jpg","https://t.co/95fRbeMF02","https://twitter.com/SpokenEdition/status/969988570558619648/photo/1","photo","http://pbs.twimg.com/media/DXYXdpOVMAADPLK.jpg","https://t.co/95fRbeMF02","https://twitter.com/SpokenEdition/status/969988570558619648/photo/1",,"x14293310","TIME","en",,,,,,,,,,,,,
"x969988567081431040",2018-03-03 17:31:10,"x196456627","Husjojola","RT @TheMikeOG: .... I hope yall get the flu. https://t.co/ze5OcagkWz","Twitter for iPhone",,,,FALSE,TRUE,0,1,,,"twitter.com/BNorBeOut/stat…","https://t.co/ze5OcagkWz","https://twitter.com/BNorBeOut/status/969767048925663233",,,,,,,,,"x849843797642969089","TheMikeOG","en",,,"x969983265317638144",".... I hope yall get the flu. https://t.co/ze5OcagkWz",,,,,,,,,
"x969988515944640512",2018-03-03 17:30:58,"x746134043318640644","Patrici76267702","RT @vnuek: Canadian Study Proves Flu Shot Increases Risk Of Contracting Influenza.. A Canadian study has found the flu shot actually increa…","Twitter for iPhone",,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,"x735148471376830464","vnuek","en",,,"x969988118647640071","Canadian Study Proves Flu Shot Increases Risk Of Contracting Influenza.. A Canadian study has found the flu shot actually increases a persons risk of falling ill with the flu and other respiratory illnesses. The peer-reviewed research published in the... https://t.co/qodhMPV9Wz",,,,,,,,,
"x969988455970365441",2018-03-03 17:30:44,"x21680271","MadMikeAmerica","Officials Say End of This Very Long Flu Season Is in Sight https://t.co/CdxdjRo1tJ https://t.co/yz6lTxaXx1","WordPress.com",,,,FALSE,FALSE,0,0,,,"madmikesamerica.com/2018/03/offici…","https://t.co/CdxdjRo1tJ","https://madmikesamerica.com/2018/03/officials-say-end-of-this-very-long-flu-season-is-in-sight/","http://pbs.twimg.com/media/DXYXXBUVAAA2i3S.jpg","https://t.co/yz6lTxaXx1","https://twitter.com/MadMikeAmerica/status/969988455970365441/photo/1","photo","http://pbs.twimg.com/media/DXYXXBUVAAA2i3S.jpg","https://t.co/yz6lTxaXx1","https://twitter.com/MadMikeAmerica/status/969988455970365441/photo/1",,,,"en",,,,,,,,,,,,,
"x969988403625381890",2018-03-03 17:30:31,"x26747790","OakParkIns","The 2018 Flu Season Might Finally Be Leveling Off: https://t.co/cAzcgVNSgj https://t.co/VU7RVsLUQ6","Hootsuite",,,,FALSE,FALSE,0,0,,,"ti.me/2EWVAHC","https://t.co/cAzcgVNSgj","http://ti.me/2EWVAHC","http://pbs.twimg.com/media/DXYXTxBU8AAF4V5.jpg","https://t.co/VU7RVsLUQ6","https://twitter.com/OakParkIns/status/969988403625381890/photo/1","photo","http://pbs.twimg.com/media/DXYXTxBU8AAF4V5.jpg","https://t.co/VU7RVsLUQ6","https://twitter.com/OakParkIns/status/969988403625381890/photo/1",,,,"en",,,,,,,,,,,,,
"x969988403625373696",2018-03-03 17:30:31,"x896111696904847360","MillerAgcy","The 2018 Flu Season Might Finally Be Leveling Off: https://t.co/tAAdPB17zr https://t.co/IN1qvAPlBb","Hootsuite",,,,FALSE,FALSE,0,0,,,"ti.me/2EWVAHC","https://t.co/tAAdPB17zr","http://ti.me/2EWVAHC","http://pbs.twimg.com/media/DXYXTxNVwAARNjo.jpg","https://t.co/IN1qvAPlBb","https://twitter.com/MillerAgcy/status/969988403625373696/photo/1","photo","http://pbs.twimg.com/media/DXYXTxNVwAARNjo.jpg","https://t.co/IN1qvAPlBb","https://twitter.com/MillerAgcy/status/969988403625373696/photo/1",,,,"en",,,,,,,,,,,,,
"x969988403545755648",2018-03-03 17:30:31,"x23995096","ACCmediacenter",".@abcnews reports on how a new #ACC18 study shows the #flu vaccine linked to lower death risk for #heartfailure patients https://t.co/1ExZbr7Tp2","Hootsuite",,,,FALSE,FALSE,0,0,"ACC18 flu heartfailure",,"ow.ly/2Pww30iGbAR","https://t.co/1ExZbr7Tp2","http://ow.ly/2Pww30iGbAR",,,,,,,,,"x2768501","abcnews","en",,,,,,,,,,,,,
"x969988398827089920",2018-03-03 17:30:30,"x2591847691","HinsonAssoc","The 2018 Flu Season Might Finally Be Leveling Off: https://t.co/mu0oblewXs https://t.co/yNhVTWSdm4","Hootsuite",,,,FALSE,FALSE,0,0,,,"ti.me/2EWVAHC","https://t.co/mu0oblewXs","http://ti.me/2EWVAHC","http://pbs.twimg.com/media/DXYXTlwWsAMINWN.jpg","https://t.co/yNhVTWSdm4","https://twitter.com/HinsonAssoc/status/969988398827089920/photo/1","photo","http://pbs.twimg.com/media/DXYXTlwWsAMINWN.jpg","https://t.co/yNhVTWSdm4","https://twitter.com/HinsonAssoc/status/969988398827089920/photo/1",,,,"en",,,,,,,,,,,,,
"x969988390820237312",2018-03-03 17:30:28,"x365481606","prettyeyes33333","RT @abc13houston: 'FIGHTING FOR HER LIFE': A woman went to the hospital and thought she had the flu, but a month later she was in the ICU a…","Twitter for Android",,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,"x16247383","abc13houston","en",,,"x969875085950627840","'FIGHTING FOR HER LIFE': A woman went to the hospital and thought she had the flu, but a month later she was in the ICU and 'fighting for her life' after being diagnosed with a Hantavirus infection. https://t.co/LgnISZ3e9N https://t.co/uzYG5J7bDK",,,,,,,,,
"x969988347618787328",2018-03-03 17:30:18,"x14426369","ksbw","Dog flu makes its way to Monterey Bay area https://t.co/wkxzY4Ovcg https://t.co/BtNqwh66j2","trueAnthem",,,,FALSE,FALSE,0,1,,,"bit.ly/2CW2FCl","https://t.co/wkxzY4Ovcg","http://bit.ly/2CW2FCl","http://pbs.twimg.com/media/DXYXQqoUMAAF_sh.jpg","https://t.co/BtNqwh66j2","https://twitter.com/ksbw/status/969988347618787328/photo/1","photo","http://pbs.twimg.com/media/DXYXQqoUMAAF_sh.jpg","https://t.co/BtNqwh66j2","https://twitter.com/ksbw/status/969988347618787328/photo/1",,,,"en",,,,,,,,,,,,,
